"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 10- 02","37,424,000","37,788,000","38,720,000","37,228,000","4.89K","-0.96%"
"2023- 10- 01","37,788,000","36,616,000","37,817,000","36,560,000","2.73K","3.25%"
"2023- 09- 30","36,600,000","36,444,000","36,740,000","36,404,000","1.37K","0.43%"
"2023- 09- 29","36,445,000","36,638,000","36,868,000","36,260,000","1.84K","-0.41%"
"2023- 09- 28","36,596,000","35,982,000","36,998,000","35,934,000","2.83K","1.71%"
"2023- 09- 27","35,979,000","35,567,000","36,485,000","35,562,000","3.28K","1.16%"
"2023- 09- 26","35,566,000","35,497,000","35,804,000","35,432,000","2.21K","0.21%"
"2023- 09- 25","35,492,000","35,534,000","35,701,000","35,178,000","2.88K","-0.11%"
"2023- 09- 24","35,531,000","35,951,000","36,098,000","35,500,000","1.64K","-1.17%"
"2023- 09- 23","35,951,000","35,986,000","36,019,000","35,902,000","1.00K","0.00%"
"2023- 09- 22","35,952,000","36,003,000","36,129,000","35,900,000","2.08K","-0.17%"
"2023- 09- 21","36,012,000","36,530,000","36,656,000","35,818,000","3.44K","-1.34%"
"2023- 09- 20","36,501,000","36,516,000","36,743,000","36,150,000","2.85K","0.00%"
"2023- 09- 19","36,500,000","36,006,000","36,820,000","35,751,000","3.10K","1.44%"
"2023- 09- 18","35,981,000","35,739,000","36,801,000","35,658,000","3.94K","0.60%"
"2023- 09- 17","35,767,000","35,974,000","35,995,000","35,650,000","2.01K","-0.48%"
"2023- 09- 16","35,938,000","35,907,000","36,050,000","35,800,000","2.19K","0.09%"
"2023- 09- 15","35,907,000","35,872,000","36,183,000","35,557,000","3.34K","0.10%"
"2023- 09- 14","35,872,000","35,513,000","36,296,000","35,409,000","3.74K","1.06%"
"2023- 09- 13","35,497,000","35,075,000","35,730,000","35,006,000","3.45K","1.20%"
"2023- 09- 12","35,076,000","34,330,000","35,857,000","34,287,000","4.68K","2.17%"
"2023- 09- 11","34,330,000","35,197,000","35,255,000","34,100,000","3.91K","-2.46%"
"2023- 09- 10","35,195,000","35,280,000","35,439,000","35,030,000","1.77K","-0.24%"
"2023- 09- 09","35,279,000","35,280,000","35,314,000","35,150,000","1.24K","-0.05%"
