"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 11- 14","515.00","469.00","519.00","438.00","1.08B","9.81%"
"2022- 11- 13","469.00","506.00","512.00","462.00","402.13M","-7.31%"
"2022- 11- 12","506.00","533.00","533.00","500.00","292.65M","-4.89%"
"2022- 11- 11","532.00","556.00","563.00","510.00","485.43M","-4.14%"
"2022- 11- 10","555.00","481.00","559.00","476.00","995.03M","15.63%"
"2022- 11- 09","480.00","583.00","592.00","463.00","1.07B","-17.67%"
"2022- 11- 08","583.00","654.00","656.00","540.00","847.30M","-10.72%"
"2022- 11- 07","653.00","664.00","673.00","649.00","251.01M","-1.66%"
"2022- 11- 06","664.00","690.00","692.00","661.00","186.14M","-3.77%"
"2022- 11- 05","690.00","702.00","708.00","686.00","283.29M","-1.85%"
"2022- 11- 04","703.00","645.00","716.00","645.00","817.45M","8.82%"
"2022- 11- 03","646.00","641.00","652.00","640.00","145.92M","0.78%"
"2022- 11- 02","641.00","651.00","656.00","636.00","209.03M","-1.54%"
"2022- 11- 01","651.00","651.00","655.00","639.00","207.50M","-0.15%"
"2022- 10- 31","652.00","643.00","656.00","633.00","243.46M","1.40%"
"2022- 10- 30","643.00","657.00","662.00","642.00","202.54M","-2.13%"
"2022- 10- 29","657.00","665.00","677.00","655.00","329.50M","-1.35%"
"2022- 10- 28","666.00","651.00","667.00","646.00","185.10M","2.30%"
"2022- 10- 27","651.00","658.00","675.00","648.00","280.51M","-0.91%"
"2022- 10- 26","657.00","654.00","661.00","650.00","212.76M","0.46%"
"2022- 10- 25","654.00","653.00","669.00","638.00","254.62M","0.15%"
"2022- 10- 24","653.00","671.00","677.00","646.00","178.11M","-2.68%"
"2022- 10- 23","671.00","668.00","675.00","651.00","171.91M","0.30%"
"2022- 10- 22","669.00","664.00","676.00","657.00","161.38M","0.75%"
"2022- 10- 21","664.00","645.00","665.00","632.00","261.62M","3.11%"
"2022- 10- 20","644.00","651.00","669.00","626.00","326.76M","-1.08%"
"2022- 10- 19","651.00","669.00","671.00","650.00","266.45M","-2.69%"
"2022- 10- 18","669.00","687.00","694.00","661.00","227.31M","-2.76%"
"2022- 10- 17","688.00","685.00","692.00","665.00","312.14M","0.29%"
"2022- 10- 16","686.00","696.00","702.00","677.00","158.20M","-1.29%"
"2022- 10- 15","695.00","704.00","707.00","691.00","148.75M","-1.28%"
"2022- 10- 14","704.00","687.00","732.00","685.00","566.82M","2.47%"
"2022- 10- 13","687.00","700.00","705.00","639.00","824.77M","-1.86%"
"2022- 10- 12","700.00","698.00","710.00","693.00","228.13M","0.29%"
"2022- 10- 11","698.00","708.00","720.00","687.00","483.82M","-1.41%"
"2022- 10- 10","708.00","756.00","766.00","707.00","430.65M","-6.47%"
"2022- 10- 09","757.00","738.00","771.00","722.00","332.74M","2.44%"
"2022- 10- 08","739.00","735.00","755.00","732.00","333.76M","0.41%"
"2022- 10- 07","736.00","701.00","750.00","688.00","603.24M","4.99%"
"2022- 10- 06","701.00","696.00","714.00","696.00","356.46M","0.72%"
"2022- 10- 05","696.00","683.00","713.00","675.00","565.01M","2.05%"
"2022- 10- 04","682.00","665.00","692.00","653.00","437.36M","2.56%"
"2022- 10- 03","665.00","653.00","675.00","637.00","362.39M","1.84%"
"2022- 10- 02","653.00","686.00","690.00","650.00","324.43M","-4.81%"
"2022- 10- 01","686.00","690.00","702.00","675.00","279.15M","-0.58%"
"2022- 09- 30","690.00","698.00","711.00","676.00","741.31M","-1.00%"
"2022- 09- 29","697.00","647.00","726.00","618.00","880.19M","7.89%"
"2022- 09- 28","646.00","644.00","656.00","607.00","720.21M","0.31%"
"2022- 09- 27","644.00","672.00","694.00","632.00","736.35M","-4.02%"
"2022- 09- 26","671.00","707.00","720.00","662.00","739.04M","-5.23%"
"2022- 09- 25","708.00","704.00","746.00","686.00","1.06B","0.71%"
"2022- 09- 24","703.00","724.00","743.00","679.00","985.37M","-2.90%"
"2022- 09- 23","724.00","691.00","795.00","659.00","2.75B","4.93%"
"2022- 09- 22","690.00","565.00","701.00","565.00","1.46B","22.12%"
"2022- 09- 21","565.00","585.00","612.00","545.00","974.76M","-3.42%"
"2022- 09- 20","585.00","542.00","595.00","524.00","1.14B","7.93%"
"2022- 09- 19","542.00","506.00","554.00","484.00","850.60M","7.11%"
"2022- 09- 18","506.00","526.00","559.00","503.00","813.54M","-3.80%"
"2022- 09- 17","526.00","500.00","533.00","488.00","531.73M","5.20%"
"2022- 09- 16","500.00","463.00","504.00","456.00","324.36M","7.76%"
"2022- 09- 15","464.00","479.00","480.00","461.00","239.95M","-3.13%"
"2022- 09- 14","479.00","467.00","483.00","466.00","199.26M","2.35%"
"2022- 09- 13","468.00","492.00","493.00","466.00","346.63M","-4.88%"
"2022- 09- 12","492.00","490.00","493.00","482.00","222.14M","0.61%"
"2022- 09- 11","489.00","491.00","495.00","484.00","129.99M","-0.41%"
"2022- 09- 10","491.00","490.00","498.00","484.00","184.42M","0.20%"
"2022- 09- 09","490.00","473.00","494.00","472.00","338.56M","3.59%"
"2022- 09- 08","473.00","467.00","478.00","459.00","215.72M","1.28%"
"2022- 09- 07","467.00","450.00","470.00","442.00","223.60M","3.78%"
"2022- 09- 06","450.00","459.00","472.00","447.00","319.89M","-2.17%"
"2022- 09- 05","460.00","457.00","460.00","447.00","169.38M","0.44%"
"2022- 09- 04","458.00","456.00","460.00","454.00","80.31M","0.44%"
"2022- 09- 03","456.00","458.00","461.00","453.00","87.13M","-0.22%"
"2022- 09- 02","457.00","456.00","461.00","450.00","180.76M","0.22%"
"2022- 09- 01","456.00","450.00","458.00","444.00","157.96M","1.33%"
"2022- 08- 31","450.00","450.00","457.00","444.00","159.60M","0.22%"
"2022- 08- 30","449.00","457.00","459.00","444.00","191.91M","-1.75%"
"2022- 08- 29","457.00","447.00","457.00","441.00","219.53M","2.24%"
"2022- 08- 28","447.00","463.00","465.00","446.00","140.02M","-3.46%"
"2022- 08- 27","463.00","467.00","475.00","455.00","169.87M","-1.07%"
"2022- 08- 26","468.00","474.00","505.00","457.00","519.51M","-1.06%"
"2022- 08- 25","473.00","471.00","476.00","467.00","169.86M","0.64%"
"2022- 08- 24","470.00","471.00","477.00","463.00","144.24M","-0.42%"
"2022- 08- 23","472.00","471.00","473.00","456.00","171.69M","0.43%"
"2022- 08- 22","470.00","473.00","473.00","457.00","202.42M","-0.42%"
"2022- 08- 21","472.00","468.00","476.00","462.00","150.08M","1.07%"
"2022- 08- 20","467.00","460.00","472.00","459.00","175.92M","1.52%"
"2022- 08- 19","460.00","508.00","508.00","457.00","488.85M","-9.27%"
"2022- 08- 18","507.00","513.00","515.00","503.00","187.85M","-0.98%"
"2022- 08- 17","512.00","507.00","527.00","497.00","488.29M","0.79%"
"2022- 08- 16","508.00","504.00","508.00","496.00","189.13M","0.59%"
"2022- 08- 15","505.00","505.00","512.00","494.00","265.85M","0.20%"
"2022- 08- 14","504.00","504.00","520.00","502.00","289.02M","0.00%"
"2022- 08- 13","504.00","503.00","512.00","502.00","195.91M","0.20%"
