"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 11- 08","411.0000","457.0000","457.0000","404.0000","15.16M","-10.07%"
"2022- 11- 07","457.0000","453.0000","460.0000","449.0000","7.52M","0.44%"
"2022- 11- 06","455.0000","465.0000","466.0000","447.0000","7.81M","-2.15%"
"2022- 11- 05","465.0000","462.0000","466.0000","458.0000","9.73M","0.65%"
"2022- 11- 04","462.0000","453.0000","464.0000","446.0000","15.41M","1.99%"
"2022- 11- 03","453.0000","442.0000","470.0000","442.0000","48.47M","2.49%"
"2022- 11- 02","442.0000","462.0000","462.0000","433.0000","23.45M","-4.12%"
"2022- 11- 01","461.0000","440.0000","507.0000","438.0000","207.65M","4.77%"
"2022- 10- 31","440.0000","431.0000","460.0000","425.0000","53.52M","1.85%"
"2022- 10- 30","432.0000","440.0000","441.0000","428.0000","9.22M","-1.82%"
"2022- 10- 29","440.0000","449.0000","449.0000","435.0000","12.46M","-2.00%"
"2022- 10- 28","449.0000","446.0000","454.0000","433.0000","14.33M","0.45%"
"2022- 10- 27","447.0000","477.0000","477.0000","444.0000","30.84M","-6.09%"
"2022- 10- 26","476.0000","473.0000","526.0000","461.0000","168.23M","0.63%"
"2022- 10- 25","473.0000","422.0000","549.0000","417.0000","528.99M","11.82%"
"2022- 10- 24","423.0000","428.0000","488.0000","413.0000","122.59M","-1.17%"
"2022- 10- 23","428.0000","415.0000","432.0000","411.0000","20.32M","3.13%"
"2022- 10- 22","415.0000","430.0000","430.0000","410.0000","18.51M","-3.49%"
"2022- 10- 21","430.0000","406.0000","474.0000","400.0000","102.03M","5.91%"
"2022- 10- 20","406.0000","409.0000","413.0000","401.0000","1.95M","-0.73%"
"2022- 10- 19","409.0000","419.0000","431.0000","406.0000","7.21M","-2.39%"
"2022- 10- 18","419.0000","425.0000","426.0000","417.0000","2.92M","-1.41%"
"2022- 10- 17","425.0000","417.0000","426.0000","412.0000","3.60M","1.92%"
"2022- 10- 16","417.0000","425.0000","428.0000","411.0000","2.67M","-1.88%"
"2022- 10- 15","425.0000","413.0000","432.0000","412.0000","5.89M","2.91%"
"2022- 10- 14","413.0000","418.0000","429.0000","409.0000","3.40M","-1.20%"
"2022- 10- 13","418.0000","429.0000","430.0000","393.0000","5.32M","-2.79%"
"2022- 10- 12","430.0000","432.0000","433.0000","427.0000","1.10M","-0.46%"
"2022- 10- 11","432.0000","441.0000","443.0000","428.0000","3.24M","-2.04%"
"2022- 10- 10","441.0000","451.0000","460.0000","441.0000","5.23M","-2.22%"
"2022- 10- 09","451.0000","456.0000","457.0000","448.0000","2.48M","-1.10%"
"2022- 10- 08","456.0000","449.0000","460.0000","447.0000","4.14M","1.56%"
"2022- 10- 07","449.0000","450.0000","456.0000","444.0000","4.56M","-0.22%"
"2022- 10- 06","450.0000","450.0000","453.0000","446.0000","1.86M","0.00%"
"2022- 10- 05","450.0000","451.0000","451.0000","443.0000","1.61M","-0.22%"
"2022- 10- 04","451.0000","446.0000","451.0000","444.0000","1.53M","1.12%"
"2022- 10- 03","446.0000","443.0000","448.0000","443.0000","1.12M","0.68%"
"2022- 10- 02","443.0000","449.0000","451.0000","441.0000","1.64M","-1.34%"
"2022- 10- 01","449.0000","449.0000","452.0000","447.0000","1.05M","0.00%"
"2022- 09- 30","449.0000","451.0000","453.0000","445.0000","2.46M","-0.44%"
"2022- 09- 29","451.0000","447.0000","457.0000","446.0000","4.71M","0.89%"
"2022- 09- 28","447.0000","452.0000","453.0000","440.0000","2.47M","-1.11%"
"2022- 09- 27","452.0000","454.0000","460.0000","445.0000","4.28M","-0.44%"
"2022- 09- 26","454.0000","456.0000","467.0000","443.0000","4.73M","-0.44%"
"2022- 09- 25","456.0000","462.0000","471.0000","452.0000","2.68M","-1.30%"
"2022- 09- 24","462.0000","460.0000","468.0000","457.0000","3.59M","0.43%"
